source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,date_annonce,annee,trimestre,periode
coinafrique_scraped,5775823,Location entrepôt avec des bureaux - Agoè ccl,louer,Bureau,Agoè,Lomé,800000.0,,,https://tg.coinafrique.com/annonce/bureaux-et-commerces/location-entrepot-avec-des-bureaux-agoe-ccl-5775823,,2026,2,2026-Q2
coinafrique_scraped,5798065,Terrain 1lot  - Baguida,,Terrain,Baguida,Lomé,45000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-baguida-5798065,,2026,2,2026-Q2
coinafrique_scraped,5768640,Vente villa de 04 pièces hédzranawoé,vendre,Villa,Hédzranawoé,Lomé,160000000.0,4.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-de-04-pieces-hedzranawoe-5768640,,2026,2,2026-Q2
coinafrique_scraped,5775818,Location villa de 03 pièces à Adidogomé,louer,Villa,Adidogomé,Lomé,300000.0,3.0,,https://tg.coinafrique.com/annonce/villas/location-villa-de-03-pieces-a-adidogome-5775818,,2026,2,2026-Q2
coinafrique_scraped,5803034,Studio meublé à cacavéli,,Studio,Cacavéli,Lomé,160000.0,,,https://tg.coinafrique.com/annonce/appartements-meubles/studio-meuble-a-cacaveli-5803034,,2026,2,2026-Q2
coinafrique_scraped,5782952,Terrain  1lot ⅓ - Adidogomé,,Terrain,Adidogomé,Lomé,45000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-adidogome-5782952,,2026,2,2026-Q2
coinafrique_scraped,5775803,Location studio meublé à Agoè assiyéyé,louer,Studio,Agoè,Lomé,185000.0,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-agoe-assiyeye-5775803,,2026,2,2026-Q2
coinafrique_scraped,5762599,Terrain 1 lot  - Agbalepedo,,Terrain,Baguida,Lomé,50000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agbalepedo-5762599,,2026,2,2026-Q2
coinafrique_scraped,5775796,Location studio meublé à Adidogomé lycée technique,louer,Studio,Adidogomé,Lomé,185000.0,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-adidogome-lycee-technique-5775796,,2026,2,2026-Q2
coinafrique_scraped,5775794,Location studio meublé à Totsi glinkomé,louer,Studio,Totsi,Lomé,200000.0,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-totsi-glinkome-5775794,,2026,2,2026-Q2
