Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source,date_annonce,annee,trimestre,periode
FACEBOOK MARKETPLACE,"Location cour unique 

Zossimé non loin du marché 

nous mettons en location une chambre salon plafo",LOCATION,VILLA,ZOSSIME,30000,2.0,20,15000.0,1500,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Cours unique chambre salon,LOCATION,VILLA,LOME,40000,2.0,22,20000.0,1818,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Appartement scindé en cour unique,LOCATION,VILLA,LOME,65000,3.0,35,21667.0,1857,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain de 1 lot avec tampon OTR à Noépé à 400m du goudron,VENTE,TERRAIN,NOEPE,4500000,,350,,12857,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain demi lot en vente a Lomé noépé,VENTE,TERRAIN,NOEPE,3500000,,350,,10000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,TERRAIN A VENDRE AKATO,VENTE,TERRAIN,AKATO,15000000,,600,,25000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain ½ lot à vendre à Lomé quartier agoé légbassito 00228 91 68 75 87,VENTE,TERRAIN,AGOE,12000000,,700,,17143,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain de 05 lots collé près de la Nationale N5 Lomé-Kpalimé,VENTE,TERRAIN,KPALIME,2000000,,1750,,1143,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,VENTE DE TERRAIN À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,VENTE,TERRAIN,AVETONOU,500000,,600,,833,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain en vente a Lomé adidogomé wonyomé,VENTE,TERRAIN,WONYOME,9000000,,350,,25714,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,À VENDRE TERRAIN SUR  1/2 LOT À BAGUIDA - ADAMAVO À 1.8KM DU GOUDRON LOME-ANEHO,VENTE,TERRAIN,ANEHO,18000000,,175,,102857,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain a vendre 1lot et 1/4 Lomé-Nukafu 120 millions,VENTE,TERRAIN,NUKAFU,120000000,,750,,160000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain un lot en vente a lome aképé port sec,VENTE,TERRAIN,AKEPE,9000000,,350,,25714,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,VENTE DE TERRAINS À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,VENTE,TERRAIN,KPALIME,500000,,10000,,50,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,"*A VENDRE*
02 LOT de terrain au cœur du grand marché de LOMÉ.
Surface : 1000 m2.

Situés en angle de",VENTE,TERRAIN,CENTRE VILLE,1000000000,,1200,,833333,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain 2 lots coller en vente a Lome agoe centre,VENTE,TERRAIN,AGOE,90000000,,700,,128571,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain à Lomé 🇹🇬,VENTE,TERRAIN,LOME,120000000,,700,,171429,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,TERRAINS AGRICOLES EN VENTE À AZAHOUN,VENTE,TERRAIN,AZAHOUN,1300000,,10000,,130,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain en vente a Lomé aképé,VENTE,TERRAIN,AKEPE,9000000,,350,,25714,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain : 1/2 lot avec Titre Foncier P à klikamé non loin campus Lomé,VENTE,TERRAIN,KPALIME,19000000,,320,,59375,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,VENTE DE TERRAINS À AMOUZOUKOPÉ 13 KLM DU GOUDRON LOMÉ- KPALIMÉ 🇹🇬,VENTE,TERRAIN,KPALIME,600000,,600,,1000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain à vendre à Lomé akepe,VENTE,TERRAIN,AKEPE,9000000,,350,,25714,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain demi lot carré en vente a lome avedji,VENTE,TERRAIN,AVEDJI,22000000,,700,,31429,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain à vendre au grand marché de lomé (Assigame),VENTE,TERRAIN,CENTRE VILLE,10000000,,435,,22989,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,VENTE DE TERRAIN A NOTSÈ 13 KL AU GOUDRON 🇹🇬,VENTE,TERRAIN,NOTSE,400000,,600,,667,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain 1 lot quart soit 700m² Nyekonakpoè Togo chaussures,VENTE,TERRAIN,NYEKONAKPOE,70000000,,350,,200000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain 6 lots collés Adewui à côté de l'université de Lomé,VENTE,TERRAIN,ADEWUI,40000000,,2100,,19048,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,VENTE DE TERRAIN A NOTSÈ À 13 KLM DU GOUDRON 🇹🇬,VENTE,TERRAIN,NOTSE,400000,,600,,667,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain en vente a Lome baguida bateauvi,VENTE,TERRAIN,BAGUIDA,17000000,,700,,24286,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain à vendre à tokoin 3k,VENTE,TERRAIN,TOKOIN,75000000,,700,,107143,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,"Terrain 1lot et ¼ ,bâti clôturé à vendre à Lomé quartier cacavéli 00228 91 68 75 87",VENTE,TERRAIN,CACAVELI,50000000,,350,,142857,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain quart de Lot en vente a Lomé mission tové,VENTE,TERRAIN,TOVE,2000000,,150,,13333,facebook,,2026,2,2026-Q2
