titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
"villa,louer,lome,entreprise de l'union",LOCATION,Appartement,leo 2000,200000,3.0,300.0,66667.0,667.0,immoask,prix_m2_trop_bas
"villa,louer,lome,entreprise de l'union",LOCATION,Appartement,leo 2000,200000,3.0,300.0,66667.0,667.0,immoask,prix_m2_trop_bas
"immeuble commercial,louer,lome,attiegou",LOCATION,Appartement,attiegou,250000,3.0,300.0,83333.0,833.0,immoask,prix_m2_trop_bas
"villa,vendre,lome,amadahome",VENTE,Villa,adidogome,47500000,3.0,10.0,,4750000.0,immoask,prix_m2_trop_eleve
"villa,louer,lome,agoe",LOCATION,Appartement,agoe,130000,5.0,250.0,26000.0,520.0,immoask,prix_m2_trop_bas
À VENDRE 20 HECTARES DE TERRAIN SUR LA VOIE DE LOMÉ-KPALIMÉ,VENTE,Terrain,kpalime,2000000,,10000.0,,200.0,facebook,prix_m2_trop_bas
Pièce meublée en ville de Lomé.,LOCATION,Appartement,lome,10000,1.0,20.0,10000.0,500.0,facebook,prix_m2_trop_bas
☎️🇹🇬 TÉL [hidden information] Appartement meublé Lomé tokoin pharmacie gbonssime,LOCATION,Appartement,tokoin,15000,2.0,24.0,7500.0,625.0,facebook,prix_m2_trop_bas
VENTE DE TERRAIN À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,VENTE,Terrain,avetonou,500000,,600.0,,833.0,facebook,prix_m2_trop_bas
VENTE DE TERRAINS À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,VENTE,Terrain,kpalime,500000,,10000.0,,50.0,facebook,prix_m2_trop_bas
TERRAINS AGRICOLES EN VENTE À AZAHOUN,VENTE,Terrain,azahoun,1300000,,10000.0,,130.0,facebook,prix_m2_trop_bas
VENTE DE TERRAIN A NOTSÈ 13 KL AU GOUDRON 🇹🇬,VENTE,Terrain,notse,400000,,600.0,,667.0,facebook,prix_m2_trop_bas
VENTE DE TERRAIN A NOTSÈ À 13 KLM DU GOUDRON 🇹🇬,VENTE,Terrain,notse,400000,,600.0,,667.0,facebook,prix_m2_trop_bas
Location appartement 2 chambres salon à la Caisse,LOCATION,Appartement,cite oua,130000000,3.0,48.0,43333333.0,2708333.0,coinafrique,prix_m2_trop_eleve
Location appartement meublé - Forever,LOCATION,Appartement,forever,450000,5.0,96.0,90000.0,4688.0,coinafrique,zone_description_lieu
Location appartement meublé 3 pièces - Forever,LOCATION,Appartement,forever,350000,3.0,48.0,116667.0,7292.0,coinafrique,zone_description_lieu
Location appartements 3 pièces - Adetikopé,LOCATION,Appartement,adetikope,350000,3.0,600.0,116667.0,583.0,coinafrique,prix_m2_trop_bas
Location appartement - Zanguéra,LOCATION,Appartement,zanguera,180000,5.0,600.0,36000.0,300.0,coinafrique,prix_m2_trop_bas
Location appartement 4 pièces a kegué pharmacie,LOCATION,Appartement,kegue pharmacie,150000,4.0,64.0,37500.0,2344.0,coinafrique,zone_description_lieu
Location appartement 3 pièces - Carrefour Agbemado,LOCATION,Appartement,carrefour agbemadon,70000,3.0,48.0,23333.0,1458.0,coinafrique,zone_description_lieu
Location appartement 3 pièces - Carrefour Kpogli,LOCATION,Appartement,carrefour kpogli,55000,3.0,48.0,18333.0,1146.0,coinafrique,zone_description_lieu
Location appartement 3 pièces - Atakpamé,LOCATION,Appartement,atakpame,35000,3.0,48.0,11667.0,729.0,coinafrique,prix_m2_trop_bas
