source,reference,titre,offre,type_bien,localisation,prix,piece,surface,url
CoinAfrique,5775818,Location villa de 03 pièces à Adidogomé,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,300 000 CFA,03,,https://tg.coinafrique.com/annonce/villas/location-villa-de-03-pieces-a-adidogome-5775818
CoinAfrique,5803034,Studio meublé à cacavéli,,Studio,Agence immobilère Ahni's HouseMembre depuis4 années34 Annonces,160 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/studio-meuble-a-cacaveli-5803034
CoinAfrique,5782952,Terrain  1lot ⅓ - Adidogomé,,Terrain,2A ImmobilierTogo136 Annonces,45 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-adidogome-5782952
CoinAfrique,5775803,Location studio meublé à Agoè assiyéyé,louer,Studio,IMMO-HOUSE SARL-UTogo1828 Annonces,185 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-agoe-assiyeye-5775803
CoinAfrique,5762599,Terrain 1 lot  - Agbalepedo,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,50 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agbalepedo-5762599
CoinAfrique,5775796,Location studio meublé à Adidogomé lycée technique,louer,Studio,IMMO-HOUSE SARL-UTogo1828 Annonces,185 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-adidogome-lycee-technique-5775796
CoinAfrique,5775794,Location studio meublé à Totsi glinkomé,louer,Studio,IMMO-HOUSE SARL-UTogo1828 Annonces,200 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-a-totsi-glinkome-5775794
CoinAfrique,5777418,Location villa 4 pièces - Kégué,louer,Villa,AGB MOBILIER/ IMMOBILIERMembre depuis4 années309 Annonces,350 CFA,4,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-kegue-5777418
CoinAfrique,5799270,Terrain 1 lot  - Agbalepedo .,,Terrain,2A ImmobilierTogo136 Annonces,67 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agbalepedo-5799270
CoinAfrique,5799263,Terrain  - Agoe legbassito,,Terrain,2A ImmobilierTogo136 Annonces,8 500 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-agoe-legbassito-5799263
CoinAfrique,5777412,Location villa 4 pièces - Adidogome Wonyomé,louer,Villa,AGB MOBILIER/ IMMOBILIERMembre depuis4 années309 Annonces,650 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-adidogome-wonyome-5777412
CoinAfrique,5782917,Terrain 1 lot avec titre foncier personnel à Soviepe,,Terrain,2A ImmobilierTogo136 Annonces,35 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-personnel-a-soviepe-5782917
CoinAfrique,5775790,Location boutique au bord du goudron à Be kpehenou,louer,Boutique,IMMO-HOUSE SARL-UTogo1828 Annonces,250 000 CFA,,,https://tg.coinafrique.com/annonce/bureaux-et-commerces/location-boutique-au-bord-du-goudron-a-be-kpehenou-5775790
CoinAfrique,5782901,Vente villa 8 pièces avec piscine sur deux lots à Baguida bkbg,vendre,Villa,2A ImmobilierTogo136 Annonces,370 000 000 CFA,8,,https://tg.coinafrique.com/annonce/villas/vente-villa-8-pieces-avec-piscine-sur-deux-lots-a-baguida-bkbg-5782901
CoinAfrique,5797993,Vente  villa 6 pièces -Avedji limousine,vendre,Villa,2A ImmobilierTogo136 Annonces,47 000 000 CFA,6,,https://tg.coinafrique.com/annonce/villas/vente-villa-6-pieces-avedji-limousine-5797993
CoinAfrique,5782847,Vente villa duplex de 7 pièces avec piscine - Adidogomé,vendre,Villa,2A ImmobilierTogo136 Annonces,360 000 000 CFA,7,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-de-7-pieces-avec-piscine-adidogome-5782847
CoinAfrique,5786528,Terrain 1 lot ¾ à segbé,,Terrain,2A ImmobilierTogo136 Annonces,33 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-segbe-5786528
CoinAfrique,5782836,Terrain 1lot  à Agoè minamadou,,Terrain,2A ImmobilierTogo136 Annonces,35 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-a-agoe-minamadou-5782836
CoinAfrique,5802928,Terrains 600  - grand marché de lomé,,Terrain,jean pingMembre depuis3 années83 Annonces,16 000 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrains-600-grand-marche-de-lome-5802928
CoinAfrique,5762471,Vente villa 04 pièces  -Adetikopé kpotavé,vendre,Villa,FRANCO IMMOBILIERTogo1397 Annonces,85 000 000 CFA,04,,https://tg.coinafrique.com/annonce/villas/vente-villa-04-pieces-adetikope-kpotave-5762471
CoinAfrique,5778963,Terrain 1000m² - Zanguéra klémé château,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,30 000 000 CFA,,1000,https://tg.coinafrique.com/annonce/terrains/terrain-1000m-zanguera-kleme-chateau-5778963
CoinAfrique,5782849,Location appartement meublé à Attiegou dva,louer,Appartement,OWR - EULOGIA SERVICESTogo436 Annonces,180 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-appartement-meuble-a-attiegou-dva-5782849
CoinAfrique,5775685,Terrain 1 lot 541 m² - Baguida,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,40 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-541-m-baguida-5775685
CoinAfrique,5766896,Vente villa 4 pièces piscine et jardin  à  Baguida,vendre,Villa,FRANCO IMMOBILIERTogo1397 Annonces,350 000 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/vente-villa-4-pieces-piscine-et-jardin-a-baguida-5766896
CoinAfrique,5762438,Terrain 200m²  -Atiégou,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,15 000 000 CFA,,200,https://tg.coinafrique.com/annonce/terrains/terrain-200m-atiegou-5762438
CoinAfrique,5782814,Terrain 400m² à mission Tové,,Terrain,OWR - EULOGIA SERVICESTogo436 Annonces,5 000 000 CFA,,400,https://tg.coinafrique.com/annonce/terrains/terrain-400m-a-mission-tove-5782814
CoinAfrique,5770164,Terrain  1/2 lot - Zanguéra,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,12 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-zanguera-5770164
CoinAfrique,5755035,Vente villa 6 pièces - Agoè,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,65 000 000 CFA,6,,https://tg.coinafrique.com/annonce/villas/vente-villa-6-pieces-agoe-5755035
CoinAfrique,5777182,Vente villa 06 pièces - adidogomé balissimé,vendre,Villa,FRANCO IMMOBILIERTogo1397 Annonces,360 000 000 CFA,06,,https://tg.coinafrique.com/annonce/villas/vente-villa-06-pieces-adidogome-balissime-5777182
CoinAfrique,5794610,Terrain 1/2 lot  à avedji CEG,,Terrain,2A ImmobilierTogo136 Annonces,22 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-a-avedji-ceg-5794610
CoinAfrique,5787651,Terrain 1lot  - Togo,,Terrain,2A ImmobilierTogo136 Annonces,90 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-togo-5787651
CoinAfrique,5773579,Terrain 1 lot -Legbassito,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,95 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-legbassito-5773579
CoinAfrique,5780689,Terrain 02 lots collés à Apessito ceg,,Terrain,IMMO-HOUSE SARL-UTogo1828 Annonces,26 000 000 CFA,,02,https://tg.coinafrique.com/annonce/terrains/terrain-02-lots-colles-a-apessito-ceg-5780689
